epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0131,2.01739,3.38503,1.93522,0.00441,0.67213,0.15407,0.05974,1.94153,3.47225,1.96687,0.00016,0.00016,0.00016
2,14.0098,1.92435,2.84934,1.78999,0.00581,0.88525,0.13291,0.04409,1.95355,3.398,1.79078,0.000333268,0.000333268,0.000333268
3,16.545,1.86428,2.54349,1.74526,0.00613,0.93443,0.2238,0.093,1.79941,3.33058,1.77783,0.000499408,0.000499408,0.000499408
4,19.3086,1.92509,2.42067,1.71451,0.00602,0.91803,0.264,0.08001,2.08437,3.35195,1.79277,0.00065842,0.00065842,0.00065842
5,21.9891,1.86224,2.33066,1.65382,0.43264,0.22951,0.24186,0.08409,2.14261,3.18472,1.77055,0.000810304,0.000810304,0.000810304
6,24.5336,1.89503,2.21972,1.66828,0.65924,0.09836,0.23769,0.09606,1.98535,3.0081,1.69127,0.00095506,0.00095506,0.00095506
7,26.6714,1.71299,2.13472,1.58648,0.11521,0.0876,0.08406,0.02322,2.4323,3.23108,2.04008,0.00109269,0.00109269,0.00109269
8,28.8412,1.85057,2.15067,1.65368,0.41642,0.32787,0.26814,0.11721,1.98595,2.92154,1.77263,0.00122319,0.00122319,0.00122319
9,31.0153,1.8133,2.08235,1.69088,0.17128,0.21347,0.11024,0.03041,2.50532,3.03234,2.12366,0.00134656,0.00134656,0.00134656
10,33.0918,1.7081,2.01368,1.59055,0.22099,0.40984,0.22463,0.0694,2.54057,3.10873,2.10512,0.0014628,0.0014628,0.0014628
11,35.1721,1.81555,2.03037,1.64611,0.22249,0.2459,0.10859,0.032,2.63723,2.78255,2.2138,0.00157192,0.00157192,0.00157192
12,37.614,1.71274,1.90109,1.55749,0.37257,0.22951,0.19721,0.07225,2.45706,3.40586,2.42783,0.0015644,0.0015644,0.0015644
13,39.8438,1.73245,1.9224,1.60612,0.70414,0.23425,0.31284,0.10614,2.37895,3.2346,2.32523,0.0015248,0.0015248,0.0015248
14,42.165,1.76562,1.83863,1.62307,0.48212,0.30533,0.31721,0.09225,2.46469,2.35141,2.20671,0.0014852,0.0014852,0.0014852
15,44.4166,1.74076,1.91902,1.65477,0.39248,0.29508,0.19288,0.07424,2.56407,2.57384,2.33896,0.0014456,0.0014456,0.0014456
16,46.5884,1.80021,1.88777,1.62144,0.46727,0.2459,0.20359,0.05941,2.59617,2.83786,2.39346,0.001406,0.001406,0.001406
17,48.8501,1.75559,1.85525,1.61448,0.43211,0.32787,0.29973,0.12153,2.26335,2.73309,2.10476,0.0013664,0.0013664,0.0013664
18,51.0971,1.69385,1.77242,1.59732,0.41351,0.44262,0.38567,0.16175,2.34118,2.23688,2.0401,0.0013268,0.0013268,0.0013268
19,53.2621,1.65831,1.74505,1.52888,0.50714,0.44262,0.38267,0.15293,2.38402,2.55232,2.13253,0.0012872,0.0012872,0.0012872
20,55.3432,1.61482,1.66093,1.4946,0.63779,0.36066,0.42903,0.15732,2.12209,2.17205,1.91079,0.0012476,0.0012476,0.0012476
21,57.3997,1.50499,1.58588,1.45131,0.60195,0.45902,0.45581,0.15227,2.29068,2.19611,2.08485,0.001208,0.001208,0.001208
22,59.474,1.5676,1.5463,1.47496,0.53304,0.54271,0.45161,0.18439,2.16893,2.13241,2.00988,0.0011684,0.0011684,0.0011684
23,61.5668,1.59918,1.59277,1.49432,0.45281,0.34426,0.32807,0.15514,2.10519,2.2742,1.89657,0.0011288,0.0011288,0.0011288
24,63.6698,1.54618,1.47027,1.46562,0.61156,0.32787,0.40064,0.14958,2.3068,2.09684,2.07898,0.0010892,0.0010892,0.0010892
25,65.6881,1.52046,1.43226,1.4229,0.54299,0.47541,0.47191,0.16195,2.20085,2.0137,2.00176,0.0010496,0.0010496,0.0010496
26,67.6953,1.53246,1.43333,1.44579,0.5164,0.55738,0.53597,0.21956,2.04872,1.94837,1.83494,0.00101,0.00101,0.00101
27,69.7158,1.45079,1.35157,1.41507,0.61844,0.52459,0.53684,0.23894,1.96634,1.93851,1.79838,0.0009704,0.0009704,0.0009704
28,71.8233,1.42306,1.38178,1.38357,0.537,0.52459,0.467,0.2194,1.99074,2.13678,1.80512,0.0009308,0.0009308,0.0009308
29,73.9598,1.5286,1.32549,1.43927,0.67032,0.47541,0.50125,0.22323,2.04346,2.02755,1.83702,0.0008912,0.0008912,0.0008912
30,76.1176,1.44714,1.27034,1.35319,0.62692,0.54098,0.55648,0.20044,2.24809,1.87771,1.93297,0.0008516,0.0008516,0.0008516
31,78.245,1.4474,1.26519,1.36845,0.58148,0.4918,0.4983,0.20506,2.18785,1.98372,1.9101,0.000812,0.000812,0.000812
32,80.3392,1.42509,1.2253,1.38331,0.4493,0.4949,0.44565,0.20245,2.05694,2.09876,1.83905,0.0007724,0.0007724,0.0007724
33,82.3534,1.37141,1.2496,1.36271,0.64598,0.44879,0.52276,0.20878,2.09437,1.82126,1.89232,0.0007328,0.0007328,0.0007328
34,84.4227,1.36238,1.18465,1.37052,0.55439,0.55738,0.53141,0.21755,2.15056,1.78828,1.93533,0.0006932,0.0006932,0.0006932
35,86.5446,1.31657,1.13589,1.29645,0.65619,0.4918,0.51125,0.21168,2.20729,1.81324,1.96647,0.0006536,0.0006536,0.0006536
36,88.712,1.34979,1.14402,1.31708,0.5603,0.54317,0.49989,0.20085,2.14944,1.87566,1.92299,0.000614,0.000614,0.000614
37,90.775,1.30946,1.11239,1.31088,0.70123,0.5082,0.53366,0.22788,2.03681,1.96643,1.86852,0.0005744,0.0005744,0.0005744
38,92.8547,1.29459,1.09373,1.32282,0.62083,0.51003,0.55098,0.22597,2.11353,1.94643,1.85705,0.0005348,0.0005348,0.0005348
39,95.1581,1.23727,1.07789,1.26537,0.54399,0.54098,0.54444,0.22259,2.16435,1.82766,1.91772,0.0004952,0.0004952,0.0004952
40,97.555,1.28017,1.06578,1.34246,0.68064,0.45902,0.51256,0.22825,2.03894,1.9099,1.84845,0.0004556,0.0004556,0.0004556
